,ca,camera_make,camera_model,captured_at,image_path,key,lat,lon,organization_key,pano,private,quality_score,sequence_key,user_key,username
90HYeOE5W5W3UfGu9yQwcD,119.1393814086914,Apple,iPhone8Plus,2018-09-06T00:00:30.238Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/90HYeOE5W5W3UfGu9yQwcD/orig.jpg,90HYeOE5W5W3UfGu9yQwcD,45.5342548,-122.8476147,,False,,3,3m1elcl2tppe4zdcds395f,iA0jENnni7kdhEzEyFGzdg,lvl5
LPL0c9zeqFx0zHrIuArLuw,286.82130000000006,Apple,"iPhone8,1",2016-02-14T20:58:29.582Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/LPL0c9zeqFx0zHrIuArLuw/orig.jpg,LPL0c9zeqFx0zHrIuArLuw,45.534314,-122.847737,,False,,4,c-LbykRV4ePihGNu8VUuhA,MBIl6Sk2BE0IzwSIGmVbHg,tas50
URTiTo95FiObdg42JfiuAw,118.3747213479167,SONY,HDR-AS300,2018-05-06T17:47:40.000Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/URTiTo95FiObdg42JfiuAw/orig.jpg,URTiTo95FiObdg42JfiuAw,45.5342247,-122.8476681,,False,,4,BaTfTehb6CDpeKPbCCMeqw,wlHsqXeaB8yQ5Vc9Vcjcrw,mly_pdx06
nUjslvJmuYSUVWjq3FKxcg,208.58756121497981,SONY,HDR-AS300,2018-05-03T10:49:26.000Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/nUjslvJmuYSUVWjq3FKxcg/orig.jpg,nUjslvJmuYSUVWjq3FKxcg,45.5342614,-122.8477214,,False,,5,TAU8k-ow_iAyavLAq3iMfg,y7LjYld1QQYT5bL4KBy5vg,mly_pdx05
qHkspEfk_QoYeCjmJngFPw,117.51620483398438,Apple,iPhone XR,2020-02-02T20:16:59.189Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/qHkspEfk_QoYeCjmJngFPw/orig.jpg,qHkspEfk_QoYeCjmJngFPw,45.534281,-122.847719,cN40cI52dJY2dl9zYPQvqw,False,False,4,alnz4rdzn1jta74xfjckzk,As1-DbXlZJifXUeuDVxxcg,marquise9
3-L1m7Bvr2sB-bh0_QmdUQ,209.96224102965493,SONY,HDR-AS300,2018-06-06T11:05:35.000Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/3-L1m7Bvr2sB-bh0_QmdUQ/orig.jpg,3-L1m7Bvr2sB-bh0_QmdUQ,45.5287631,-122.8323714,,False,,5,uuMd-zv-R-Ku8JD7swhENQ,vOwQD10mzpcloFHrZdnMwA,mly_pdx03
COJn5pnYQ7TZUYFx83_YkA,299.056396484375,Apple,iPhone XR,2020-02-02T18:34:05.170Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/COJn5pnYQ7TZUYFx83_YkA/orig.jpg,COJn5pnYQ7TZUYFx83_YkA,45.528741,-122.832448,cN40cI52dJY2dl9zYPQvqw,False,False,4,8naa7ny04h4qa6o9uzol9p,As1-DbXlZJifXUeuDVxxcg,marquise9
ClvkwDyy66OCxcTzdM6gjw,300.3624,Apple,"iPhone6,1",2016-08-01T01:46:31.904Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/ClvkwDyy66OCxcTzdM6gjw/orig.jpg,ClvkwDyy66OCxcTzdM6gjw,45.528739,-122.832216,,False,,2,8lse9ipwfm95zv2yfl6coo,LtbUhZG1W0qZbrR1Yd_aGg,tybf244
D0M0yUXL7xumRDX78hptl1,298.5472106933594,Apple,iPhone8Plus,2018-07-17T15:51:36.979Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/D0M0yUXL7xumRDX78hptl1/orig.jpg,D0M0yUXL7xumRDX78hptl1,45.5287611,-122.8324404,,False,,2,d2ficq0uqgowidmaigajpw,iA0jENnni7kdhEzEyFGzdg,lvl5
TFX8F0z-BbiL9lCw1IdSsg,118.30251032530515,SONY,HDR-AS300,2018-05-05T15:31:20.000Z,/home/boycetsang/PythonProject/mapillary/mapyllary/resources/TFX8F0z-BbiL9lCw1IdSsg/orig.jpg,TFX8F0z-BbiL9lCw1IdSsg,45.5287747,-122.8324531,,False,,5,Haw4WyfZaj_iaBXYuSo_Aw,wlHsqXeaB8yQ5Vc9Vcjcrw,mly_pdx06
